[1000, [RandomSet,1][MinimumConnectivity,1], [DepthFirstSearchLowCost,1][MostConnectedFirst,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,1}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,true}, {MixSeekers,false}]
hMinimumConnectivity,Cost, 22546.70874876179, Score, 45.5,sDepthFirstSearchLowCost,Cost, 456.0801456853626, Score, -40.33333333333333, PathLength, 120.0,sMostConnectedFirst,Cost, 835.8807144519949, Score, -50.66666666666667, PathLength, 151.0,
hMinimumConnectivity,Cost, 15491.997687274323, Score, 59.166666666666664,sDepthFirstSearchLowCost,Cost, 487.31384602398674, Score, -51.66666666666667, PathLength, 154.0,sMostConnectedFirst,Cost, 913.4838985731391, Score, -66.66666666666666, PathLength, 199.0,
hRandomSet,Cost, 93.32664430446926, Score, 55.5,sDepthFirstSearchLowCost,Cost, 594.5682056127213, Score, -56.99999999999999, PathLength, 170.0,sMostConnectedFirst,Cost, 744.9235564388969, Score, -54.0, PathLength, 161.0,
hMinimumConnectivity,Cost, 2075.752996467466, Score, 56.83333333333333,sDepthFirstSearchLowCost,Cost, 498.4530246038946, Score, -49.666666666666664, PathLength, 148.0,sMostConnectedFirst,Cost, 921.2783336065908, Score, -64.0, PathLength, 191.0,
hMinimumConnectivity,Cost, 13903.442648619472, Score, 62.0,sDepthFirstSearchLowCost,Cost, 537.3043639235914, Score, -49.333333333333336, PathLength, 147.0,sMostConnectedFirst,Cost, 1085.1235941808832, Score, -74.66666666666667, PathLength, 223.0,
hRandomSet,Cost, 151.4753973675088, Score, 48.5,sDepthFirstSearchLowCost,Cost, 543.0370947959619, Score, -58.666666666666664, PathLength, 175.0,sMostConnectedFirst,Cost, 601.6160404925497, Score, -38.333333333333336, PathLength, 114.0,
hRandomSet,Cost, 98.60592506762615, Score, 30.666666666666664,sDepthFirstSearchLowCost,Cost, 297.299754798187, Score, -32.33333333333333, PathLength, 96.0,sMostConnectedFirst,Cost, 357.495819821489, Score, -28.999999999999996, PathLength, 86.0,
hRandomSet,Cost, 173.8204691912781, Score, 27.833333333333336,sDepthFirstSearchLowCost,Cost, 283.28721095403284, Score, -30.333333333333336, PathLength, 90.0,sMostConnectedFirst,Cost, 411.6020567216172, Score, -25.333333333333336, PathLength, 75.0,
hRandomSet,Cost, 103.46324166882067, Score, 46.333333333333336,sDepthFirstSearchLowCost,Cost, 301.82407365895943, Score, -31.0, PathLength, 92.0,sMostConnectedFirst,Cost, 927.8955240287477, Score, -61.66666666666667, PathLength, 184.0,
hMinimumConnectivity,Cost, 13311.92025815481, Score, 54.66666666666667,sDepthFirstSearchLowCost,Cost, 551.9401115666133, Score, -61.66666666666667, PathLength, 184.0,sMostConnectedFirst,Cost, 704.7048559291712, Score, -47.66666666666667, PathLength, 142.0,
hMinimumConnectivity,Cost, 13707.80334862176, Score, 85.83333333333334,sDepthFirstSearchLowCost,Cost, 593.29840559192, Score, -59.66666666666667, PathLength, 178.0,sMostConnectedFirst,Cost, 1726.2772228583733, Score, -112.00000000000001, PathLength, 335.0,
hMinimumConnectivity,Cost, 17145.3616855131, Score, 47.0,sDepthFirstSearchLowCost,Cost, 237.92932709920285, Score, -31.333333333333336, PathLength, 93.0,sMostConnectedFirst,Cost, 896.4149840362261, Score, -62.66666666666667, PathLength, 187.0,
hMinimumConnectivity,Cost, 15245.306022371591, Score, 92.16666666666666,sDepthFirstSearchLowCost,Cost, 638.6240151336756, Score, -62.33333333333333, PathLength, 186.0,sMostConnectedFirst,Cost, 1938.7675916002224, Score, -122.0, PathLength, 365.0,
hMinimumConnectivity,Cost, 2432.9533505028435, Score, 42.33333333333333,sDepthFirstSearchLowCost,Cost, 415.52763915000514, Score, -47.0, PathLength, 140.0,sMostConnectedFirst,Cost, 534.7033238697267, Score, -37.666666666666664, PathLength, 112.0,
hMinimumConnectivity,Cost, 7373.99669311444, Score, 76.5,sDepthFirstSearchLowCost,Cost, 273.8563232166345, Score, -31.666666666666664, PathLength, 94.0,sMostConnectedFirst,Cost, 1652.4857908411543, Score, -121.33333333333334, PathLength, 363.0,
hRandomSet,Cost, 215.76268525957786, Score, 34.166666666666664,sDepthFirstSearchLowCost,Cost, 452.0923802169467, Score, -38.666666666666664, PathLength, 115.0,sMostConnectedFirst,Cost, 419.27806226564167, Score, -29.666666666666668, PathLength, 88.0,
hMinimumConnectivity,Cost, 8379.645881871693, Score, 72.0,sDepthFirstSearchLowCost,Cost, 639.8757138095657, Score, -56.666666666666664, PathLength, 169.0,sMostConnectedFirst,Cost, 1421.6945377128554, Score, -87.33333333333333, PathLength, 261.0,
hMinimumConnectivity,Cost, 15140.067173471607, Score, 92.0,sDepthFirstSearchLowCost,Cost, 655.4720538870345, Score, -60.333333333333336, PathLength, 180.0,sMostConnectedFirst,Cost, 2036.6881397410111, Score, -123.66666666666666, PathLength, 370.0,
hRandomSet,Cost, 125.94845405596034, Score, 36.33333333333333,sDepthFirstSearchLowCost,Cost, 144.3297541398601, Score, -22.666666666666664, PathLength, 67.0,sMostConnectedFirst,Cost, 678.5818449156303, Score, -50.0, PathLength, 149.0,
hMinimumConnectivity,Cost, 20528.38424722555, Score, 58.0,sDepthFirstSearchLowCost,Cost, 372.88847134475117, Score, -37.333333333333336, PathLength, 111.0,sMostConnectedFirst,Cost, 1183.08689732436, Score, -78.66666666666666, PathLength, 235.0,
hMinimumConnectivity,Cost, 5736.236770286873, Score, 116.16666666666667,sDepthFirstSearchLowCost,Cost, 620.3029738417404, Score, -66.0, PathLength, 197.0,sMostConnectedFirst,Cost, 2436.891539501616, Score, -166.33333333333334, PathLength, 498.0,
hMinimumConnectivity,Cost, 2284.8326609697665, Score, 57.333333333333336,sDepthFirstSearchLowCost,Cost, 596.7308723430823, Score, -52.0, PathLength, 155.0,sMostConnectedFirst,Cost, 978.9909752970214, Score, -62.66666666666667, PathLength, 187.0,
hMinimumConnectivity,Cost, 11675.74308730696, Score, 91.66666666666667,sDepthFirstSearchLowCost,Cost, 651.444679101271, Score, -63.66666666666667, PathLength, 190.0,sMostConnectedFirst,Cost, 1802.107573263691, Score, -119.66666666666667, PathLength, 358.0,
hMinimumConnectivity,Cost, 11925.724431181954, Score, 90.66666666666667,sDepthFirstSearchLowCost,Cost, 566.7788487852623, Score, -56.333333333333336, PathLength, 168.0,sMostConnectedFirst,Cost, 1861.7774242787023, Score, -125.0, PathLength, 374.0,
hMinimumConnectivity,Cost, 2096.4496933978407, Score, 59.33333333333333,sDepthFirstSearchLowCost,Cost, 542.2168090721201, Score, -57.99999999999999, PathLength, 173.0,sMostConnectedFirst,Cost, 907.9324812808335, Score, -60.66666666666667, PathLength, 181.0,
hRandomSet,Cost, 182.32332669249004, Score, 28.5,sDepthFirstSearchLowCost,Cost, 250.56774585643475, Score, -31.0, PathLength, 92.0,sMostConnectedFirst,Cost, 411.8444916574955, Score, -26.0, PathLength, 77.0,
hMinimumConnectivity,Cost, 12826.396721894786, Score, 74.16666666666667,sDepthFirstSearchLowCost,Cost, 594.8417304499255, Score, -54.666666666666664, PathLength, 163.0,sMostConnectedFirst,Cost, 1398.315876044728, Score, -93.66666666666667, PathLength, 280.0,
hMinimumConnectivity,Cost, 19750.709784945986, Score, 46.66666666666667,sDepthFirstSearchLowCost,Cost, 575.7725615293939, Score, -54.333333333333336, PathLength, 162.0,sMostConnectedFirst,Cost, 583.0921919913718, Score, -39.0, PathLength, 116.0,
hRandomSet,Cost, 260.7404607606752, Score, 37.0,sDepthFirstSearchLowCost,Cost, 305.20290044277397, Score, -33.0, PathLength, 98.0,sMostConnectedFirst,Cost, 600.8480276892828, Score, -41.0, PathLength, 122.0,
hRandomSet,Cost, 119.00937586602345, Score, 50.0,sDepthFirstSearchLowCost,Cost, 330.8319066692258, Score, -38.0, PathLength, 113.0,sMostConnectedFirst,Cost, 943.6659562745081, Score, -62.0, PathLength, 185.0,
hRandomSet,Cost, 304.1770953257217, Score, 37.0,sDepthFirstSearchLowCost,Cost, 552.7657375586549, Score, -53.0, PathLength, 158.0,sMostConnectedFirst,Cost, 331.21832077093853, Score, -21.0, PathLength, 62.0,
hMinimumConnectivity,Cost, 10712.861681568136, Score, 50.5,sDepthFirstSearchLowCost,Cost, 675.7007180149244, Score, -59.66666666666667, PathLength, 178.0,sMostConnectedFirst,Cost, 657.0451420790324, Score, -41.333333333333336, PathLength, 123.0,
hRandomSet,Cost, 135.7582283176592, Score, 37.83333333333333,sDepthFirstSearchLowCost,Cost, 406.9345471758857, Score, -36.666666666666664, PathLength, 109.0,sMostConnectedFirst,Cost, 559.8665427139221, Score, -39.0, PathLength, 116.0,
