[100, [RandomSet,1][MinimumConnectivity,1][MaxDistance,1][Random,1][RandomDirection,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1], [ConstrainedRandomWalk,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hMinimumConnectivity,Cost, 15701.541756385648, Score, 73.77333333333333, AverageDegreeOfNodes, 6.0, DegreeOfLeastConnectedNodes, 1, NumberOfLeastConnectedNodes, 2, DegreeOfMostConnectedNodes, 12, NumberOfMostConnectedNodes, 2,sConstrainedRandomWalk,Cost, 1129.1917106548165, Score, -73.77333333333333, PathLength, 220.0,
hMaxDistance,Cost, 2010.3775681157638, Score, 38.73333333333334, GraphDiameter, 9.0,sConstrainedRandomWalk,Cost, 598.9766490736619, Score, -38.73333333333334, PathLength, 115.0,
hRandom,Cost, 44.694731156301216, Score, 33.38333333333335,sConstrainedRandomWalk,Cost, 512.3837574262362, Score, -33.38333333333335, PathLength, 99.0,
hRandomDirection,Cost, 20.564373963262664, Score, 31.763333333333335,sConstrainedRandomWalk,Cost, 488.5499840636655, Score, -31.763333333333335, PathLength, 94.0,
hRandomFixedDistance,Cost, 147.94585130120274, Score, 35.22666666666667,sConstrainedRandomWalk,Cost, 540.8582031046126, Score, -35.22666666666667, PathLength, 104.0,
hLowEdgeCostRandomFixedDistance,Cost, 52.160759851866736, Score, 34.17666666666667,sConstrainedRandomWalk,Cost, 529.1873610435374, Score, -34.17666666666667, PathLength, 101.0,
hRandomSet,Cost, 51.3611804769679, Score, 38.06666666666667,sConstrainedRandomWalk,Cost, 580.0685006827756, Score, -38.06666666666667, PathLength, 113.0,
hMinimumConnectivity,Cost, 19255.936182656722, Score, 66.92, AverageDegreeOfNodes, 6.0, DegreeOfLeastConnectedNodes, 1, NumberOfLeastConnectedNodes, 1, DegreeOfMostConnectedNodes, 12, NumberOfMostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 1036.6880475288444, Score, -66.92, PathLength, 199.0,
hMaxDistance,Cost, 2062.9137179217564, Score, 35.21999999999999, GraphDiameter, 7.0,sConstrainedRandomWalk,Cost, 539.2146503140444, Score, -35.21999999999999, PathLength, 104.0,
hRandom,Cost, 49.050992408607165, Score, 33.16999999999999,sConstrainedRandomWalk,Cost, 507.2377127289494, Score, -33.16999999999999, PathLength, 98.0,
hRandomDirection,Cost, 21.498661464179513, Score, 32.940000000000005,sConstrainedRandomWalk,Cost, 504.7562606823618, Score, -32.940000000000005, PathLength, 97.0,
hRandomFixedDistance,Cost, 98.24536512439127, Score, 31.856666666666655,sConstrainedRandomWalk,Cost, 491.00422171671175, Score, -31.856666666666655, PathLength, 94.0,
hLowEdgeCostRandomFixedDistance,Cost, 114.24537693937589, Score, 30.24666666666666,sConstrainedRandomWalk,Cost, 460.87245893730125, Score, -30.24666666666666, PathLength, 89.0,
hRandomSet,Cost, 44.06101512759702, Score, 36.88333333333333,sConstrainedRandomWalk,Cost, 528.5524513136816, Score, -36.88333333333333, PathLength, 109.0,
hMinimumConnectivity,Cost, 17532.750872502755, Score, 67.17333333333335, AverageDegreeOfNodes, 6.0, DegreeOfLeastConnectedNodes, 1, NumberOfLeastConnectedNodes, 1, DegreeOfMostConnectedNodes, 13, NumberOfMostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 959.2269894538239, Score, -67.17333333333335, PathLength, 200.0,
hMaxDistance,Cost, 54.55180762153447, Score, 32.596666666666664, GraphDiameter, 3.0,sConstrainedRandomWalk,Cost, 464.9590973300558, Score, -32.596666666666664, PathLength, 96.0,
hRandom,Cost, 41.889634752232695, Score, 31.739999999999988,sConstrainedRandomWalk,Cost, 454.77802170941555, Score, -31.739999999999988, PathLength, 94.0,
hRandomDirection,Cost, 19.28443743186873, Score, 31.143333333333327,sConstrainedRandomWalk,Cost, 443.3415951712507, Score, -31.143333333333327, PathLength, 92.0,
hRandomFixedDistance,Cost, 91.82132335808232, Score, 33.79999999999999,sConstrainedRandomWalk,Cost, 477.8540177497296, Score, -33.79999999999999, PathLength, 100.0,
hLowEdgeCostRandomFixedDistance,Cost, 39.17727014555559, Score, 31.106666666666662,sConstrainedRandomWalk,Cost, 446.61221465308233, Score, -31.106666666666662, PathLength, 92.0,
hRandomSet,Cost, 41.08890244667772, Score, 39.83333333333334,sConstrainedRandomWalk,Cost, 587.9532759798457, Score, -39.83333333333334, PathLength, 118.0,
hMinimumConnectivity,Cost, 10757.04838335325, Score, 89.24666666666666, AverageDegreeOfNodes, 6.0, DegreeOfLeastConnectedNodes, 1, NumberOfLeastConnectedNodes, 3, DegreeOfMostConnectedNodes, 12, NumberOfMostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 1320.7771614863416, Score, -89.24666666666666, PathLength, 266.0,
hMaxDistance,Cost, 20.666454827881257, Score, 34.73666666666668, GraphDiameter, -1.0,sConstrainedRandomWalk,Cost, 508.79081256129166, Score, -34.73666666666668, PathLength, 103.0,
hRandom,Cost, 45.635704311114324, Score, 32.22,sConstrainedRandomWalk,Cost, 473.1330945867359, Score, -32.22, PathLength, 95.0,
hRandomDirection,Cost, 20.831876317451616, Score, 32.31333333333335,sConstrainedRandomWalk,Cost, 470.79418255916147, Score, -32.31333333333335, PathLength, 95.0,
hRandomFixedDistance,Cost, 215.97902797089674, Score, 31.81666666666666,sConstrainedRandomWalk,Cost, 467.7939886019982, Score, -31.81666666666666, PathLength, 94.0,
hLowEdgeCostRandomFixedDistance,Cost, 22.027809457123467, Score, 31.086666666666652,sConstrainedRandomWalk,Cost, 454.5022532248195, Score, -31.086666666666652, PathLength, 92.0,
hRandomSet,Cost, 49.38736942865272, Score, 35.626666666666665,sConstrainedRandomWalk,Cost, 559.1698772058194, Score, -35.626666666666665, PathLength, 105.0,
hMinimumConnectivity,Cost, 15565.048779521427, Score, 86.43333333333334, AverageDegreeOfNodes, 6.0, DegreeOfLeastConnectedNodes, 1, NumberOfLeastConnectedNodes, 2, DegreeOfMostConnectedNodes, 12, NumberOfMostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 1363.061958002907, Score, -86.43333333333334, PathLength, 258.0,
hMaxDistance,Cost, 1798.727613147557, Score, 34.56333333333333, GraphDiameter, 5.0,sConstrainedRandomWalk,Cost, 536.8270990343166, Score, -34.56333333333333, PathLength, 102.0,
hRandom,Cost, 49.53994475439169, Score, 32.163333333333334,sConstrainedRandomWalk,Cost, 501.09618120459737, Score, -32.163333333333334, PathLength, 95.0,
hRandomDirection,Cost, 20.88596236351962, Score, 32.04666666666667,sConstrainedRandomWalk,Cost, 500.33473694131663, Score, -32.04666666666667, PathLength, 95.0,
hRandomFixedDistance,Cost, 154.42196055862811, Score, 33.07999999999999,sConstrainedRandomWalk,Cost, 515.5857527807573, Score, -33.07999999999999, PathLength, 98.0,
hLowEdgeCostRandomFixedDistance,Cost, 49.72872674713727, Score, 29.593333333333327,sConstrainedRandomWalk,Cost, 464.9802798210343, Score, -29.593333333333327, PathLength, 87.0,
hRandomSet,Cost, 46.331398317129654, Score, 36.62,sConstrainedRandomWalk,Cost, 525.8140032058086, Score, -36.62, PathLength, 108.0,
hMinimumConnectivity,Cost, 18356.176589126535, Score, 63.69666666666666, AverageDegreeOfNodes, 6.0, DegreeOfLeastConnectedNodes, 1, NumberOfLeastConnectedNodes, 1, DegreeOfMostConnectedNodes, 14, NumberOfMostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 914.6686743977097, Score, -63.69666666666666, PathLength, 190.0,
hMaxDistance,Cost, 1856.6821629755143, Score, 33.8, GraphDiameter, 6.0,sConstrainedRandomWalk,Cost, 489.951369662714, Score, -33.8, PathLength, 100.0,
hRandom,Cost, 44.55910702186235, Score, 32.50666666666666,sConstrainedRandomWalk,Cost, 466.8172888854695, Score, -32.50666666666666, PathLength, 96.0,
hRandomDirection,Cost, 19.69863903617862, Score, 31.58,sConstrainedRandomWalk,Cost, 455.04870009347235, Score, -31.58, PathLength, 93.0,
hRandomFixedDistance,Cost, 214.90025931458567, Score, 33.82333333333332,sConstrainedRandomWalk,Cost, 486.74282518807263, Score, -33.82333333333332, PathLength, 100.0,
hLowEdgeCostRandomFixedDistance,Cost, 66.80793499253694, Score, 33.50666666666666,sConstrainedRandomWalk,Cost, 486.2643791301925, Score, -33.50666666666666, PathLength, 99.0,
hRandomSet,Cost, 42.38626026100866, Score, 38.716666666666676,sConstrainedRandomWalk,Cost, 588.8223404507994, Score, -38.716666666666676, PathLength, 115.0,
hMinimumConnectivity,Cost, 17850.40516003457, Score, 94.56666666666669, AverageDegreeOfNodes, 6.0, DegreeOfLeastConnectedNodes, 1, NumberOfLeastConnectedNodes, 2, DegreeOfMostConnectedNodes, 12, NumberOfMostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 1445.0884098551912, Score, -94.56666666666669, PathLength, 282.0,
hMaxDistance,Cost, 21.029341748359343, Score, 33.00333333333333, GraphDiameter, -1.0,sConstrainedRandomWalk,Cost, 496.08965486442764, Score, -33.00333333333333, PathLength, 98.0,
hRandom,Cost, 43.37207041886737, Score, 34.70666666666666,sConstrainedRandomWalk,Cost, 525.5996127415543, Score, -34.70666666666666, PathLength, 103.0,
hRandomDirection,Cost, 20.21816794677751, Score, 31.91333333333334,sConstrainedRandomWalk,Cost, 480.50223923982793, Score, -31.91333333333334, PathLength, 94.0,
