[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [ConstrainedRandomWalk,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,i+1}, {Rounds,100}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandom,Cost, 14.418190243604794, Score, 44.19999999999999,sConstrainedRandomWalk,Cost, 64.22590617931866, Score, -44.19999999999999, PathLength, 131.0,
hRandomDirection,Cost, 6.860314747325561, Score, 41.83999999999999,sConstrainedRandomWalk,Cost, 61.178998835721885, Score, -41.83999999999999, PathLength, 124.0,
hRandomSet,Cost, 10.911328046550027, Score, 53.47333333333335,sConstrainedRandomWalk,Cost, 77.47397577685838, Score, -53.47333333333335, PathLength, 159.0,
hRandomFixedDistance,Cost, 59.830587555275336, Score, 45.76666666666667,sConstrainedRandomWalk,Cost, 65.73283803125877, Score, -45.76666666666667, PathLength, 136.0,
hLowEdgeCostRandomFixedDistance,Cost, 7.952072443601456, Score, 48.6133333333333,sConstrainedRandomWalk,Cost, 70.64999538419545, Score, -48.6133333333333, PathLength, 144.0,
hMinimumConnectivity,Cost, 5118.65409298175, Score, 95.94333333333329,sConstrainedRandomWalk,Cost, 141.15215846548926, Score, -95.94333333333329, PathLength, 286.0,
hMaxDistance,Cost, 749.8905742332665, Score, 44.35999999999999,sConstrainedRandomWalk,Cost, 64.74262851736407, Score, -44.35999999999999, PathLength, 132.0,
hRandom,Cost, 15.946890928424047, Score, 45.153333333333315,sConstrainedRandomWalk,Cost, 67.28195663826288, Score, -45.153333333333315, PathLength, 134.0,
hRandomDirection,Cost, 7.628183934128101, Score, 43.01333333333333,sConstrainedRandomWalk,Cost, 64.58764338999677, Score, -43.01333333333333, PathLength, 128.0,
hRandomSet,Cost, 12.242935742906475, Score, 46.533333333333324,sConstrainedRandomWalk,Cost, 69.40305245068942, Score, -46.533333333333324, PathLength, 138.0,
hRandomFixedDistance,Cost, 47.64320120070394, Score, 46.49333333333334,sConstrainedRandomWalk,Cost, 69.59924431411146, Score, -46.49333333333334, PathLength, 138.0,
hLowEdgeCostRandomFixedDistance,Cost, 14.902781297500376, Score, 44.23,sConstrainedRandomWalk,Cost, 65.7122717955253, Score, -44.23, PathLength, 131.0,
