[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [ConstrainedRandomWalk,1], {Topology,scalefree}, {NumberOfNodes,100}, {NumberOfHideLocations,i+1}, {Rounds,100}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandom,Cost, 13.650366854407332, Score, 162.1164383561644,sConstrainedRandomWalk,Cost, 123.45961217652518, Score, -162.1164383561644, PathLength, 235.0,
hRandomDirection,Cost, 7.220338461195281, Score, 142.5958904109589,sConstrainedRandomWalk,Cost, 108.32383277131724, Score, -142.5958904109589, PathLength, 207.0,
hRandomSet,Cost, 20.786684608074037, Score, 197.58904109589045,sConstrainedRandomWalk,Cost, 149.88892455286722, Score, -197.58904109589045, PathLength, 287.0,
hRandomFixedDistance,Cost, 19.918371299629364, Score, 155.21917808219186,sConstrainedRandomWalk,Cost, 118.27698185992162, Score, -155.21917808219186, PathLength, 225.0,
hLowEdgeCostRandomFixedDistance,Cost, 55.155493421480095, Score, 186.26027397260276,sConstrainedRandomWalk,Cost, 142.71282066849656, Score, -186.26027397260276, PathLength, 270.0,
hMinimumConnectivity,Cost, 41.02116489454874, Score, 274.17123287671234,sConstrainedRandomWalk,Cost, 209.75557733885893, Score, -274.17123287671234, PathLength, 399.0,
hMaxDistance,Cost, 706.2092577149779, Score, 181.48630136986296,sConstrainedRandomWalk,Cost, 138.7927888819898, Score, -181.48630136986296, PathLength, 263.0,
hRandom,Cost, 15.316688081772549, Score, 131.65189873417722,sConstrainedRandomWalk,Cost, 111.53512386151012, Score, -131.65189873417722, PathLength, 207.0,
hRandomDirection,Cost, 7.1780818102784965, Score, 121.79113924050638,sConstrainedRandomWalk,Cost, 103.03979792324171, Score, -121.79113924050638, PathLength, 191.0,
hRandomSet,Cost, 17.919807694562877, Score, 160.99367088607596,sConstrainedRandomWalk,Cost, 135.8946972117004, Score, -160.99367088607596, PathLength, 253.0,
hRandomFixedDistance,Cost, 45.25170369638388, Score, 160.8291139240507,sConstrainedRandomWalk,Cost, 136.29866863319987, Score, -160.8291139240507, PathLength, 253.0,
hLowEdgeCostRandomFixedDistance,Cost, 67.77009912938415, Score, 144.22151898734174,sConstrainedRandomWalk,Cost, 122.58762928750026, Score, -144.22151898734174, PathLength, 226.0,
hMinimumConnectivity,Cost, 53.714337659019456, Score, 217.88607594936704,sConstrainedRandomWalk,Cost, 184.14160003979566, Score, -217.88607594936704, PathLength, 343.0,
hMaxDistance,Cost, 728.7913326492348, Score, 135.7848101265823,sConstrainedRandomWalk,Cost, 114.84241028973682, Score, -135.7848101265823, PathLength, 213.0,
hRandom,Cost, 14.114963737686553, Score, 147.0974025974026,sConstrainedRandomWalk,Cost, 103.35646307592437, Score, -147.0974025974026, PathLength, 225.0,
hRandomDirection,Cost, 7.484376079226484, Score, 153.96753246753252,sConstrainedRandomWalk,Cost, 108.66487062176607, Score, -153.96753246753252, PathLength, 236.0,
hRandomSet,Cost, 17.074956963471383, Score, 199.18181818181816,sConstrainedRandomWalk,Cost, 141.55109815865478, Score, -199.18181818181816, PathLength, 305.0,
hRandomFixedDistance,Cost, 34.471228660722794, Score, 164.73376623376623,sConstrainedRandomWalk,Cost, 117.2121397632794, Score, -164.73376623376623, PathLength, 252.0,
hLowEdgeCostRandomFixedDistance,Cost, 45.226465161116714, Score, 180.96753246753232,sConstrainedRandomWalk,Cost, 127.74220104419453, Score, -180.96753246753232, PathLength, 277.0,
hMinimumConnectivity,Cost, 38.80336077135463, Score, 264.1363636363636,sConstrainedRandomWalk,Cost, 187.1283974774619, Score, -264.1363636363636, PathLength, 405.0,
hMaxDistance,Cost, 669.518398349443, Score, 163.77922077922082,sConstrainedRandomWalk,Cost, 116.32108798909005, Score, -163.77922077922082, PathLength, 251.0,
hRandom,Cost, 17.657514323244296, Score, 181.50684931506848,sConstrainedRandomWalk,Cost, 136.32354290043148, Score, -181.50684931506848, PathLength, 264.0,
hRandomDirection,Cost, 9.202988207916546, Score, 188.22602739726025,sConstrainedRandomWalk,Cost, 142.4643586745184, Score, -188.22602739726025, PathLength, 273.0,
hRandomSet,Cost, 21.801149625571593, Score, 216.41095890410958,sConstrainedRandomWalk,Cost, 162.44856757957754, Score, -216.41095890410958, PathLength, 314.0,
hRandomFixedDistance,Cost, 70.97528627878813, Score, 193.56849315068496,sConstrainedRandomWalk,Cost, 145.2654787062586, Score, -193.56849315068496, PathLength, 281.0,
hLowEdgeCostRandomFixedDistance,Cost, 4.150975216798364, Score, 160.08904109589048,sConstrainedRandomWalk,Cost, 120.77777460372283, Score, -160.08904109589048, PathLength, 232.0,
hMinimumConnectivity,Cost, 48.556077581463576, Score, 274.4041095890411,sConstrainedRandomWalk,Cost, 205.09600000033842, Score, -274.4041095890411, PathLength, 399.0,
hMaxDistance,Cost, 809.8442269435017, Score, 187.40410958904118,sConstrainedRandomWalk,Cost, 140.78714667328222, Score, -187.40410958904118, PathLength, 272.0,
